Silhouette Score: -1.0000, Number of Clusters: 534, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 279, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 163, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 102, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 5, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 236, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 171, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 132, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 10}
Silhouette Score: -1.0000, Number of Clusters: 80, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 10, 'min_samples': 15}
Silhouette Score: -1.0000, Number of Clusters: 153, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 1}
Silhouette Score: -1.0000, Number of Clusters: 107, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 5}
Silhouette Score: -1.0000, Number of Clusters: 2, Skew Threshold: 0.7, Correlation Threshold: 0.5, UMAP Parameters: {'n_neighbors': 5, 'min_dist': 0.0}, HDBSCAN Parameters: {'min_cluster_size': 15, 'min_samples': 10}
