2023-09-29 20:01:01,032 INFO    StreamThr :812 [internal.py:wandb_internal():86] W&B internal server running at pid: 812, started at: 2023-09-29 20:01:01.031766
2023-09-29 20:01:01,032 DEBUG   HandlerThread:812 [handler.py:handle_request():144] handle_request: status
2023-09-29 20:01:01,033 INFO    WriterThread:812 [datastore.py:open_for_write():85] open: /Users/leo/Programming/PLR/wandb/run-20230929_200101-k0qcame4/run-k0qcame4.wandb
2023-09-29 20:01:01,033 DEBUG   SenderThread:812 [sender.py:send():379] send: header
2023-09-29 20:01:01,046 DEBUG   SenderThread:812 [sender.py:send():379] send: run
2023-09-29 20:01:01,513 INFO    SenderThread:812 [dir_watcher.py:__init__():211] watching files in: /Users/leo/Programming/PLR/wandb/run-20230929_200101-k0qcame4/files
2023-09-29 20:01:01,513 INFO    SenderThread:812 [sender.py:_start_run_threads():1121] run started: k0qcame4 with start time 1696014061.031969
2023-09-29 20:01:01,520 DEBUG   HandlerThread:812 [handler.py:handle_request():144] handle_request: check_version
2023-09-29 20:01:01,520 DEBUG   SenderThread:812 [sender.py:send_request():406] send_request: check_version
2023-09-29 20:01:01,753 DEBUG   HandlerThread:812 [handler.py:handle_request():144] handle_request: run_start
2023-09-29 20:01:01,759 DEBUG   HandlerThread:812 [system_info.py:__init__():32] System info init
2023-09-29 20:01:01,759 DEBUG   HandlerThread:812 [system_info.py:__init__():47] System info init done
2023-09-29 20:01:01,759 INFO    HandlerThread:812 [system_monitor.py:start():181] Starting system monitor
2023-09-29 20:01:01,759 INFO    SystemMonitor:812 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-29 20:01:01,759 INFO    HandlerThread:812 [system_monitor.py:probe():201] Collecting system info
2023-09-29 20:01:01,760 INFO    SystemMonitor:812 [interfaces.py:start():190] Started cpu monitoring
2023-09-29 20:01:01,760 DEBUG   HandlerThread:812 [system_info.py:probe():196] Probing system
2023-09-29 20:01:01,761 INFO    SystemMonitor:812 [interfaces.py:start():190] Started disk monitoring
2023-09-29 20:01:01,761 INFO    SystemMonitor:812 [interfaces.py:start():190] Started gpuapple monitoring
2023-09-29 20:01:01,764 INFO    SystemMonitor:812 [interfaces.py:start():190] Started memory monitoring
2023-09-29 20:01:01,765 INFO    SystemMonitor:812 [interfaces.py:start():190] Started network monitoring
2023-09-29 20:01:01,768 DEBUG   HandlerThread:812 [system_info.py:_probe_git():181] Probing git
2023-09-29 20:01:01,781 DEBUG   HandlerThread:812 [system_info.py:_probe_git():189] Probing git done
2023-09-29 20:01:01,781 DEBUG   HandlerThread:812 [system_info.py:probe():244] Probing system done
